State,EV,Democratic,Republican,Other
Alabama,9,849624,1441170,32488
Alaska,3,153778,189951,15801
Arizona,11,1672143,1661686,53497
Arkansas,6,423932,760647,34490
California,55,11110250,6006429,384202
Colorado,9,1804352,1364607,88021
Conneticut,7,1080831,714717,28309
Delaware,3,296268,200603,7475
DC,3,317323,18586,8447
Florida,29,5297045,5668731,101680
Georgia,16,2473633,2461854,64473
Hawaii,4,366130,196864,11475
Idaho,4,287021,554119,26874
Illinois,20,3471915,2446891,114938
Indiana,11,1242416,1729519,61186
Iowa,6,759061,897672,34138
Kansas,6,570323,771406,30574
Kentucky,8,772474,1326646,37648
Louisiana,8,856034,1255776,36252
Maine,2,435072,360737,23652
Maryland,10,1985023,976414,75593
Massachusetts,11,2382202,1167202,81998
ME-1,1,266376,164045,12691
ME-2,1,168696,196692,10961
Michigan,16,2804040,2649852,85410
Minnesota,10,1717077,1484065,76029
Mississippi,6,539398,756764,17597
Missouri,10,1253014,1718736,54212
Montana,3,244786,343602,15286
Nebraska,2,374583,556846,24954
Nevada,6,703486,669890,32000
New Hampshire,4,424937,365660,15608
New Jersey,14,2608335,1883274,57744
New Mexico,5,501614,401894,20457
New York,29,5230985,3244798,119043
NE-1,1,132261,180290,9335
NE-2,1,176468,154377,8821
NE-3,1,65854,222179,6798
North Carolina,15,2684292,2758775,81737
North Dakota,3,114902,235595,11322
Ohio,18,2679165,3154834,88203
Oklahoma,7,503890,1020280,36529
Oregon,7,1340383,958448,75490
Pennsylvania,20,3458229,3377674,79380
Rhode Island,4,307486,199922,10349
South Carolina,9,1091541,1385103,36685
South Dakota,3,150471,261043,11095
Tennessee,11,1143711,1852475,57665
Texas,38,5259126,5890347,165583
Utah,6,560282,865140,62867
Vermont,3,242820,112704,11904
Virginia,13,2413568,1962430,84526
Washington,12,2369612,1584651,133368
West Virginia,5,235984,545382,13365
Wisconsin,10,1630866,1610184,56991
Wyoming,3,73491,193559,9715